source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	1.999	-458.37	-511.6317398058208	-53.26173980582081
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	2.0	-388.18	-340.2777	47.902300000000025
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	2.0	-382.27	-340.2777	41.9923
Dawar2016	Dawar2016/T_1073K_q_46	1073.0	46.0	2.0	-365.9	-340.2777	25.622299999999996
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	1.989	-475.15	-516.8735	-41.72350000000006
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	1.9952	-434.33	-488.0777545454544	-53.74775454545443
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	1.9962	-430.09	-480.2796727272731	-50.18967272727315
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	1.9989	-389.07	-440.5738	-51.50380000000001
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	2.0	-358.99	-314.0479	44.94209999999998
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	2.0	-342.08	-314.0479	28.032099999999957
Dawar2016	Dawar2016/T_1273K_q_46	1273.0	46.0	2.0	-332.05	-314.0479	18.002099999999984
Dawar2016	Dawar2016/T_1473K_q_46	1473.0	46.0	1.9867	-441.03	-461.2029	-20.172900000000027
Dawar2016	Dawar2016/T_1473K_q_46	1473.0	46.0	1.9931	-403.99	-437.2026737704914	-33.21267377049139
Dawar2016	Dawar2016/T_1473K_q_46	1473.0	46.0	1.9969	-373.04	-410.3561278688531	-37.31612786885307
Dawar2016	Dawar2016/T_1473K_q_46	1473.0	46.0	1.9982	-345.06	-394.3813786885239	-49.32137868852391
Dawar2016	Dawar2016/T_1473K_q_46	1473.0	46.0	1.9989	-325.52	-381.1472	-55.627200000000016
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9986	-322.5	-391.8906	-69.3906
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.999	-313.2	-382.43776323119215	-69.23776323119216
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9991	-309.5	-379.336454038992	-69.83645403899197
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9996	-300.8	-358.05699888578783	-57.25699888578782
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9996	-276.6	-358.05699888578783	-81.45699888578781
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9997	-296.6	-351.08947660165927	-54.48947660165925
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9998	-279.0	-338.031983565457	-59.03198356545698
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9998	-296.7	-338.031983565457	-41.331983565456994
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	1.9999	-260.5	-324.97449052925475	-64.47449052925475
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	2.0	-254.9	-311.9169974930525	-57.016997493052514
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	2.0001	-241.8	-300.36961922004883	-58.56961922004882
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	2.0003	-223.0	-278.97374178272514	-55.97374178272514
Edwards1978	Edwards1978/T_1523K_q_25	1523.0	25.0	2.0008	-212.1	-251.7185732590592	-39.61857325905922
