Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	1	1	TC	0.07348188499
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	2	0.5	O	1.100880705e-12
2.018016	at grain boundary	HCP_A3	HCP_A3	0.3001863068	0.3001863068	2	0.5	VA	1
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BA	8.692553562e-07
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BA2	1.527068133e-15
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BA2O	6.07641828e-09
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BA2O2	2.410628468e-10
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BAMOO4	3.4230594e-15
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	BAO	3.521425557e-07
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	CS	0.9933596242
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	CS2	0.006634759491
2.018016	at grain boundary	gas	GAS	0.009635776814	0.009635776814	1	1	CS2MOO4	3.398582751e-08
