number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_K_d,user_attrs_f_n,user_attrs_score_Rd,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_pressure_eq,user_attrs_score_swelling_d,user_attrs_score_total,state
67,2.357296043457223,5.182868514871652,8.933935657776228,2288525.4362356067,4.991292913518762e-06,5.182868514871652,8.933935657776228,2288525.4362356067,4.991292913518762e-06,1.5034769778548203,0.4915872233880252,0.0,1.3206059672520307e-06,0.38284889688845014,2.357296043457223,COMPLETE
68,3.97180766961994,6.832926869518363,19.55235390764184,2116459.8960983,3.5118264992683215e-06,6.832926869518363,19.55235390764184,2116459.8960983,3.5118264992683215e-06,1.04620105861858,0.2333991607112902,2.2215665607511688,1.697023505692066,0.15079156099975569,3.97180766961994,COMPLETE
69,3.9040111330852305,2.2643380777647364,4.792076048189477,4532241.121226374,3.032628844282142e-07,2.2643380777647364,4.792076048189477,4532241.121226374,3.032628844282142e-07,2.4688820904005513,0.9198677710362549,0.0,3.9194496918930146e-07,0.530115617338177,3.9040111330852305,COMPLETE
70,11.151023686423564,16.74001133293734,15.429470227294596,3179757.608884191,1.8700882469196634e-07,16.74001133293734,15.429470227294596,3179757.608884191,1.8700882469196634e-07,0.5169370623275634,2.5765733971326936,4.34772640898583,2.614323851624404,2.428437420054637,11.151023686423564,COMPLETE
71,7.005294044488699,1.168759908456073,2.314288539706554,4628668.090659086,1.3108437286603844e-06,1.168759908456073,2.314288539706554,4628668.090659086,1.3108437286603844e-06,4.011871466167617,2.0135819148369456,0.0,2.522486025801235e-07,0.8500405389319508,7.005294044488699,COMPLETE
72,2.2939207316495764,4.0870851014022405,19.25096814437744,2268916.7307824036,1.8276327340925765e-06,4.0870851014022405,19.25096814437744,2268916.7307824036,1.8276327340925765e-06,1.4594699153828197,0.49073492356641457,0.0,7.558183045459691e-07,0.36123072702096726,2.2939207316495764,COMPLETE
73,5.615384725433468,1.2117556395152473,1.2676320351199146,2116832.425793125,9.013062695950591e-07,1.2117556395152473,1.2676320351199146,2116832.425793125,9.013062695950591e-07,2.5751915334399698,1.9448971075498032,0.0,3.7988781599423617e-07,0.78096121502512,5.615384725433468,COMPLETE
74,8.29330374549357,1.0067582508380117,3.3226024090390034,2860143.0392718962,6.575738891414067e-06,1.0067582508380117,3.3226024090390034,2860143.0392718962,6.575738891414067e-06,4.228367539086197,2.8020143225397303,0.0,8.715085734444612e-07,0.9187583168149777,8.29330374549357,COMPLETE
75,1.7920731697204582,5.642751680968605,1.0276536245292927,2719212.3724503517,1.1063233694428666e-06,5.642751680968605,1.0276536245292927,2719212.3724503517,1.1063233694428666e-06,1.2504959097799246,0.23632963000732335,0.18583987553422646,0.13697891698216394,0.1805956646442113,1.7920731697204582,COMPLETE
76,2.1949633997379583,6.812737482707166,1.0355808880027655,2572784.4847605666,1.1361449830472346e-06,6.812737482707166,1.0355808880027655,2572784.4847605666,1.1361449830472346e-06,1.0374663373105788,0.21908610712961665,0.8491812029594887,0.5375373293662246,0.10055943909139364,2.1949633997379583,COMPLETE
